Rang 2020,Rang 2019,Kommun,Antal kvinnor 2020,Antal kvinnor 2019,Förändring (%),Kön
84,85.0,Ale,15612,15348.0,1.72009382329945,Kvinna
64,64.0,Alingsås,20900,20774.0,0.606527390006739,Kvinna
123,123.0,Alvesta,9857,9795.0,0.632976008167432,Kvinna
255,255.0,Aneby,3318,3350.0,-0.955223880597015,Kvinna
165,164.0,Arboga,6945,6973.0,-0.401548831206081,Kvinna
287,287.0,Arjeplog,1292,1327.0,-2.63752825923135,Kvinna
260,260.0,Arvidsjaur,2977,3038.0,-2.00789993416722,Kvinna
103,101.0,Arvika,12895,12981.0,-0.662506740620908,Kvinna
197,199.0,Askersund,5604,5589.0,0.268384326355341,Kvinna
112,112.0,Avesta,11391,11444.0,-0.463124781544914,Kvinna
223,221.0,Bengtsfors,4643,4699.0,-1.19174292402639,Kvinna
249,251.0,Berg,3453,3409.0,1.29070108536228,Kvinna
290,290.0,Bjurholm,1154,1159.0,-0.431406384814495,Kvinna
156,154.0,Bjuv,7624,7662.0,-0.49595405899243,Kvinna
93,93.0,Boden,13791,13814.0,-0.166497755899812,Kvinna
221,222.0,Bollebygd,4728,4694.0,0.724328930549638,Kvinna
97,96.0,Bollnäs,13399,13435.0,-0.267956829177521,Kvinna
204,204.0,Borgholm,5405,5406.0,-0.0184979652238254,Kvinna
47,46.0,Borlänge,25871,25955.0,-0.32363706414949,Kvinna
13,13.0,Borås,56749,56573.0,0.311102469375851,Kvinna
23,23.0,Botkyrka,46246,46125.0,0.262330623306233,Kvinna
271,270.0,Boxholm,2628,2647.0,-0.717793728749528,Kvinna
181,180.0,Bromölla,6243,6315.0,-1.14014251781473,Kvinna
261,261.0,Bräcke,2916,2978.0,-2.08193418401612,Kvinna
125,126.0,Burlöv,9535,9444.0,0.963574756459128,Kvinna
151,157.0,Båstad,7756,7600.0,2.05263157894737,Kvinna
276,277.0,Dals-Ed,2266,2295.0,-1.26361655773421,Kvinna
79,78.0,Danderyd,16632,16694.0,-0.371390918893015,Kvinna
220,220.0,Degerfors,4768,4765.0,0.0629590766002099,Kvinna
288,288.0,Dorotea,1171,1195.0,-2.00836820083682,Kvinna
241,241.0,Eda,4164,4177.0,-0.31122815417764,Kvinna
90,90.0,Ekerö,14175,14074.0,0.717635355975558,Kvinna
132,133.0,Eksjö,8837,8841.0,-0.0452437507069336,Kvinna
231,231.0,Emmaboda,4513,4577.0,-1.39829582696089,Kvinna
58,58.0,Enköping,22727,22300.0,1.91479820627803,Kvinna
16,15.0,Eskilstuna,53312,53231.0,0.152166970374406,Kvinna
78,79.0,Eslöv,16790,16655.0,0.810567397178025,Kvinna
264,266.0,Essunga,2817,2812.0,0.177809388335704,Kvinna
174,172.0,Fagersta,6525,6593.0,-1.0313969361444,Kvinna
57,56.0,Falkenberg,22862,22525.0,1.496115427303,Kvinna
80,80.0,Falköping,16516,16522.0,-0.0363152160755357,Kvinna
40,39.0,Falun,30006,29964.0,0.140168201842211,Kvinna
210,210.0,Filipstad,5141,5196.0,-1.058506543495,Kvinna
119,119.0,Finspång,10551,10671.0,-1.12454315434355,Kvinna
143,143.0,Flen,7997,8082.0,-1.05171987131898,Kvinna
193,193.0,Forshaga,5689,5660.0,0.512367491166078,Kvinna
258,259.0,Färgelanda,3211,3178.0,1.03838892385148,Kvinna
211,211.0,Gagnef,5085,5061.0,0.4742145820984,Kvinna
88,87.0,Gislaved,14420,14581.0,-1.10417666826692,Kvinna
194,195.0,Gnesta,5667,5647.0,0.354170355941208,Kvinna
224,224.0,Gnosjö,4636,4669.0,-0.706789462411651,Kvinna
39,40.0,Gotland,30152,29870.0,0.944091061265484,Kvinna
235,235.0,Grums,4457,4469.0,-0.268516446632356,Kvinna
265,267.0,Grästorp,2811,2798.0,0.464617583988563,Kvinna
273,272.0,Gullspång,2547,2613.0,-2.52583237657865,Kvinna
139,139.0,Gällivare,8403,8426.0,-0.272964633277949,Kvinna
18,17.0,Gävle,51523,51351.0,0.334949660181886,Kvinna
2,2.0,Göteborg,290551,288973.0,0.546071778332232,Kvinna
177,177.0,Götene,6456,6461.0,-0.0773874013310633,Kvinna
182,183.0,Habo,6239,6143.0,1.56275435454989,Kvinna
199,198.0,Hagfors,5558,5609.0,-0.909252986272063,Kvinna
150,148.0,Hallsberg,7770,7754.0,0.206345112200155,Kvinna
142,142.0,Hallstahammar,8156,8138.0,0.22118456623249,Kvinna
17,18.0,Halmstad,51793,51280.0,1.00039001560062,Kvinna
141,141.0,Hammarö,8340,8266.0,0.895233486571498,Kvinna
24,24.0,Haninge,45946,45173.0,1.71119916764439,Kvinna
228,223.0,Haparanda,4606,4692.0,-1.83290707587383,Kvinna
166,165.0,Heby,6917,6890.0,0.391872278664732,Kvinna
157,156.0,Hedemora,7593,7614.0,-0.275807722616233,Kvinna
8,8.0,Helsingborg,75173,74405.0,1.03218869699617,Kvinna
229,226.0,Herrljunga,4592,4640.0,-1.03448275862069,Kvinna
226,228.0,Hjo,4618,4601.0,0.369484894588133,Kvinna
222,225.0,Hofors,4646,4663.0,-0.36457216384302,Kvinna
14,14.0,Huddinge,55775,55612.0,0.293102208156513,Kvinna
70,70.0,Hudiksvall,18645,18708.0,-0.336754329698525,Kvinna
169,166.0,Hultsfred,6801,6887.0,-1.24872949034413,Kvinna
209,208.0,Hylte,5197,5267.0,-1.32902980823998,Kvinna
116,117.0,Håbo,10857,10833.0,0.221545278316256,Kvinna
254,252.0,Hällefors,3344,3400.0,-1.64705882352941,Kvinna
219,219.0,Härjedalen,4822,4811.0,0.228642693826647,Kvinna
106,106.0,Härnösand,12532,12582.0,-0.397393101255762,Kvinna
69,69.0,Härryda,18953,18837.0,0.615809311461485,Kvinna
48,48.0,Hässleholm,25840,25863.0,-0.0889301318485868,Kvinna
95,95.0,Höganäs,13675,13564.0,0.818342671778237,Kvinna
268,263.0,Högsby,2775,2851.0,-2.66573132234304,Kvinna
152,151.0,Hörby,7692,7699.0,-0.0909208988180283,Kvinna
140,140.0,Höör,8356,8307.0,0.58986397014566,Kvinna
