Rang 2020,Rang 2019,Kommun,Antal Män 2020,Antal Män 2019,Förändring,Kön
81,83.0,Ale,16256,16054.0,1.25825339479258,Man
64,64.0,Alingsås,20702,20646.0,0.2712389809164,Man
122,123.0,Alvesta,10367,10339.0,0.2708192281652,Man
255,255.0,Aneby,3503,3498.0,0.142938822184105,Man
169,168.0,Arboga,7094,7114.0,-0.281135788585887,Man
287,286.0,Arjeplog,1426,1458.0,-2.19478737997257,Man
262,262.0,Arvidsjaur,3168,3182.0,-0.43997485857951,Man
103,103.0,Arvika,13037,13064.0,-0.206674831598285,Man
197,199.0,Askersund,5867,5788.0,1.36489288182446,Man
113,113.0,Avesta,11676,11734.0,-0.494290097153571,Man
223,219.0,Bengtsfors,4948,5051.0,-2.03920015838448,Man
249,250.0,Berg,3667,3652.0,0.410733844468784,Man
290,290.0,Bjurholm,1233,1249.0,-1.28102481985588,Man
149,149.0,Bjuv,8073,8053.0,0.24835465044083,Man
93,93.0,Boden,14269,14266.0,0.0210290200476658,Man
231,233.0,Bollebygd,4816,4801.0,0.312434909393876,Man
100,99.0,Bollnäs,13410,13453.0,-0.31963130900171,Man
209,210.0,Borgholm,5431,5433.0,-0.0368120743603902,Man
47,46.0,Borlänge,26523,26635.0,-0.420499342969777,Man
14,14.0,Borås,56965,56606.0,0.634208387803413,Man
21,21.0,Botkyrka,48601,48481.0,0.24751964687197,Man
271,270.0,Boxholm,2813,2829.0,-0.565570873100035,Man
179,178.0,Bromölla,6516,6555.0,-0.594965675057208,Man
260,260.0,Bräcke,3265,3320.0,-1.6566265060241,Man
125,126.0,Burlöv,9777,9668.0,1.1274306992139,Man
160,160.0,Båstad,7657,7528.0,1.71360255047821,Man
276,276.0,Dals-Ed,2495,2518.0,-0.913423351866561,Man
83,81.0,Danderyd,16080,16163.0,-0.513518529975871,Man
227,225.0,Degerfors,4863,4901.0,-0.775351968985921,Man
288,288.0,Dorotea,1327,1356.0,-2.13864306784661,Man
242,241.0,Eda,4386,4387.0,-0.0227946204695692,Man
90,90.0,Ekerö,14704,14616.0,0.60207991242474,Man
137,137.0,Eksjö,8951,8912.0,0.437612208258528,Man
229,227.0,Emmaboda,4847,4868.0,-0.43138866064092,Man
54,56.0,Enköping,23513,22987.0,2.28824988036716,Man
15,15.0,Eskilstuna,53663,53628.0,0.065264414112031,Man
77,78.0,Eslöv,17333,17138.0,1.13782238300852,Man
269,269.0,Essunga,2870,2842.0,0.985221674876847,Man
174,172.0,Fagersta,6742,6798.0,-0.823771697558105,Man
57,57.0,Falkenberg,23189,22842.0,1.51913142456878,Man
79,79.0,Falköping,16722,16724.0,-0.0119588615163836,Man
41,41.0,Falun,29522,29442.0,0.271720671150058,Man
211,209.0,Filipstad,5362,5448.0,-1.57856093979442,Man
117,116.0,Finspång,11214,11241.0,-0.240192153722978,Man
140,139.0,Flen,8434,8503.0,-0.811478301775844,Man
199,198.0,Forshaga,5835,5839.0,-0.0685048809727693,Man
258,258.0,Färgelanda,3447,3459.0,-0.346921075455334,Man
215,216.0,Gagnef,5293,5243.0,0.953652489032996,Man
86,85.0,Gislaved,15215,15382.0,-1.08568456637628,Man
201,200.0,Gnesta,5754,5718.0,0.629590766002099,Man
221,220.0,Gnosjö,4978,5043.0,-1.28891532817767,Man
39,39.0,Gotland,29972,29816.0,0.523209015293802,Man
238,237.0,Grums,4586,4578.0,0.17474879860201,Man
268,268.0,Grästorp,2874,2895.0,-0.72538860103627,Man
274,274.0,Gullspång,2622,2667.0,-1.68728908886389,Man
136,134.0,Gällivare,9059,9103.0,-0.483357135010436,Man
18,18.0,Gävle,51381,51067.0,0.614878492960229,Man
2,2.0,Göteborg,292505,290308.0,0.75678245174091,Man
175,175.0,Götene,6738,6746.0,-0.118588793359028,Man
183,184.0,Habo,6350,6290.0,0.95389507154213,Man
194,193.0,Hagfors,5959,5997.0,-0.63365015841254,Man
146,146.0,Hallsberg,8220,8178.0,0.513573000733676,Man
145,144.0,Hallstahammar,8244,8208.0,0.43859649122807,Man
17,17.0,Halmstad,51961,51487.0,0.920620739215724,Man
142,142.0,Hammarö,8328,8302.0,0.313177547578897,Man
23,23.0,Haninge,47744,46922.0,1.75184348493244,Man
220,223.0,Haparanda,4995,4993.0,0.0400560785099139,Man
167,167.0,Heby,7184,7157.0,0.377253038982814,Man
154,154.0,Hedemora,7869,7877.0,-0.101561508188397,Man
8,8.0,Helsingborg,74107,73329.0,1.06097178469637,Man
228,231.0,Herrljunga,4852,4824.0,0.580431177446103,Man
236,236.0,Hjo,4611,4609.0,0.0433933608157952,Man
224,224.0,Hofors,4924,4925.0,-0.0203045685279188,Man
13,13.0,Huddinge,57459,57236.0,0.389614927667901,Man
70,70.0,Hudiksvall,18886,18899.0,-0.068786708291444,Man
165,164.0,Hultsfred,7306,7337.0,-0.422516014719913,Man
208,205.0,Hylte,5452,5548.0,-1.73035328046143,Man
118,118.0,Håbo,11162,11101.0,0.549500045040987,Man
253,252.0,Hällefors,3552,3613.0,-1.68834763354553,Man
216,214.0,Härjedalen,5248,5279.0,-0.587232430384543,Man
107,105.0,Härnösand,12582,12601.0,-0.150781683993334,Man
69,69.0,Härryda,19293,19140.0,0.799373040752351,Man
48,48.0,Hässleholm,26170,26282.0,-0.426147172970094,Man
99,100.0,Höganäs,13493,13378.0,0.859620272088503,Man
265,263.0,Högsby,2956,3070.0,-3.71335504885994,Man
153,153.0,Hörby,7961,7932.0,0.365607665153807,Man
139,140.0,Höör,8474,8406.0,0.808945990958839,Man
275,275.0,Jokkmokk,2511,2546.0,-1.37470542026709,Man
28,28.0,Järfälla,41256,40559.0,1.7184841835351,Man
10,10.0,Jönköping,71610,70816.0,1.12121554450972,Man
148,147.0,Kalix,8142,8176.0,-0.415851272015656,Man
34,34.0,Kalmar,35009,34614.0,1.14115675738141,Man
252,253.0,Karlsborg,3555,3544.0,0.31038374717833,Man
80,80.0,Karlshamn,16327,16381.0,-0.32965020450522,Man
88,86.0,Karlskoga,15157,15222.0,-0.427013533044278,Man
35,35.0,Karlskrona,34213,34259.0,-0.134271286377302,Man
24,24.0,Karlstad,47075,46651.0,0.908876551413689,Man
76,76.0,Katrineholm,17468,17432.0,0.206516750803121,Man
188,187.0,Kil,6139,6125.0,0.228571428571429,Man
