Årtal,Medel- folkmängd,Födda,Döda,Naturlig befolknings- förändring,Nativitet (per 1000),Dödstal (per 1000),Naturlig befolknings- förändring (per 1000),Total fertilitet
1900,5117000.0,138139,86146,51993,270,168,102,402
1901,5156000.0,139370,82772,56598,270,161,110,404
1902,5187000.0,137364,79722,57642,265,154,111,395
1903,5210000.0,133896,78610,55286,257,151,106,382
1904,5241000.0,134952,80152,54800,257,153,105,383
1905,5278000.0,135409,82443,52966,257,156,100,383
1906,5316000.0,136620,76366,60254,257,144,113,381
1907,5357000.0,136793,78149,58644,255,146,109,377
1908,5404000.0,138874,80568,58306,257,149,108,379
1909,5453000.0,139505,74538,64967,256,137,119,371
1910,5499000.0,135625,77212,58413,247,140,106,360
1911,5542000.0,132977,76462,56515,240,138,102,349
1912,5583000.0,132868,79241,53627,238,142,96,344
1913,5621000.0,130200,76724,53476,232,136,95,332
1914,5659000.0,129458,78311,51147,229,138,90,329
1915,5696000.0,122997,83587,39410,216,147,69,306
1916,5735000.0,121679,77771,43908,212,136,77,299
1917,5779000.0,120855,77385,43470,209,134,75,293
1918,5807000.0,117955,104594,13361,203,180,23,283
1919,5830000.0,115193,84289,30904,198,145,53,272
1920,5876000.0,138753,78128,60625,236,133,103,322
1921,5929000.0,127723,73536,54187,215,124,91,293
1922,5971000.0,116946,76343,40603,196,128,68,266
1923,5997000.0,113435,68424,45011,189,114,75,255
1924,6021000.0,109055,72001,37054,181,120,62,243
1925,6045000.0,106292,70918,35374,176,117,59,234
1926,6064000.0,102007,71344,30663,168,118,51,222
1927,6081000.0,97994,77219,20775,161,127,34,211
1928,6097000.0,97868,73267,24601,161,120,40,208
1929,6113000.0,92861,74538,18323,152,122,30,195
1930,6131000.0,94220,71790,22430,154,117,37,196
1931,6152000.0,91074,77121,13953,148,125,23,188
1932,6176000.0,89779,71459,18320,145,116,30,183
1933,6201000.0,85020,69607,15413,137,112,25,172
1934,6222000.0,85092,69921,15171,137,112,24,167
1935,6242000.0,85906,72813,13093,138,117,21,170
1936,6259000.0,88938,74836,14102,142,120,23,175
1937,6276000.0,90373,75392,14981,144,120,24,177
1938,6297000.0,93946,72693,21253,149,115,34,184
1939,6326000.0,97380,72876,24504,154,115,39,190
1940,6356000.0,95778,72748,23030,151,114,36,186
1941,6389000.0,99727,71910,27817,156,113,44,192
1942,6432000.0,113961,63741,50220,177,99,78,219
1943,6491000.0,125392,66105,59287,193,102,91,241
1944,6560000.0,134991,72284,62707,206,110,96,261
1945,6636000.0,135373,71901,63472,204,108,96,263
1946,6719000.0,132597,70635,61962,197,105,92,257
1947,6803000.0,128779,73579,55200,189,108,81,250
1948,6883000.0,126683,67693,58990,184,98,86,247
1949,6956000.0,121272,69537,51735,174,100,74,239
1950,7014000.0,115414,70296,45118,165,100,64,228
1951,7073000.0,110168,69799,40369,156,99,57,220
1952,7125000.0,110192,68270,41922,155,96,59,222
1953,7171000.0,110144,69553,40591,154,97,57,225
1954,7213000.0,105096,69030,36066,146,96,50,218
1955,7262000.0,107305,68634,38671,148,95,53,225
1956,7315000.0,107960,70205,37755,148,96,52,229
1957,7364000.0,107168,73132,34036,146,99,46,229
1958,7409000.0,105502,71065,34437,142,96,46,226
1959,7446000.0,104743,70889,33854,141,95,45,229
1960,7480000.0,102219,75093,27126,137,100,36,217
1961,7520000.0,104501,73555,30946,139,98,41,221
1962,7562000.0,107284,76791,30493,142,102,40,225
1963,7604000.0,112903,76460,36443,148,101,48,233
1964,7661000.0,122664,76661,46003,160,100,60,247
1965,7734000.0,122806,78194,44612,159,101,58,239
1966,7808000.0,123354,78440,44914,158,100,58,237
1967,7868000.0,121360,79783,41577,154,101,53,228
1968,7914000.0,113087,82476,30611,143,104,39,207
1969,7968000.0,107622,83352,24270,135,105,30,194
1970,8043000.0,110150,80026,30124,137,99,37,194
1971,8098000.0,114484,82717,31767,141,102,39,198
1972,8122000.0,112273,84051,28222,138,103,35,193
1973,8137000.0,109663,85640,24023,135,105,30,188
1974,8161000.0,109874,86316,23558,135,106,29,191
1975,8193000.0,103632,88208,15424,126,108,19,178
1976,8222000.0,98345,90677,7668,120,110,9,170
1977,8252000.0,96057,88202,7855,116,107,10,164
1978,8276000.0,93248,89681,3567,113,108,4,161
1979,8294000.0,96255,91074,5181,116,110,6,166
1980,8310000.0,97064,91800,5264,117,110,6,169
1981,8320000.0,94065,92034,2031,113,111,2,163
1982,8325000.0,92748,90671,2077,111,109,2,160
1983,8329000.0,91780,90791,989,110,109,1,161
1984,8337000.0,93889,90483,3406,113,109,4,166
1985,8350000.0,98463,94032,4431,118,113,5,174
1986,8370000.0,101950,93295,8655,122,111,10,179
1987,8397799.0,104699,93307,11392,125,111,14,184
1988,8436485.5,112080,96743,15337,133,115,18,196
1989,8492962.0,116023,92110,23913,137,108,28,202
1990,8558833.0,123938,95161,28777,145,111,34,214
1991,8617374.5,123737,95202,28535,144,110,33,212
1992,8668066.0,122848,94710,28138,142,109,32,209
1993,8718561.0,117998,97008,20990,135,111,24,200
1994,8780745.0,112257,91844,20413,128,105,23,190
1995,8826938.5,103326,96910,6416,117,110,7,174
1996,8840997.5,95297,94133,1164,108,106,1,161
1997,8846062.0,89171,92674,-3503,101,105,-4,152
1998,8850973.5,88384,92891,-4507,100,105,-5,151
1999,8857874.0,88173,94726,-6553,100,107,-7,150
2000,8872109.0,90441,93285,-2844,102,105,-3,154
2001,8895960.0,91466,93752,-2286,103,105,-3,157
2002,8924958.0,95815,95009,806,107,106,1,165
2003,8958229.0,99157,92961,6196,111,104,7,171
2004,8993531.0,100928,90532,10396,112,101,12,175
2005,9029572.0,101346,91710,9636,112,102,11,177
2006,9080504.5,105913,91177,14736,117,100,16,185
2007,9148092.0,107421,91729,15692,117,100,17,188
2008,9219637.0,109301,91449,17852,119,99,19,191
2009,9298514.5,111801,90080,21721,120,97,23,194
2010,9378126.0,115641,90487,25154,123,96,27,198
2011,9449212.5,111770,89938,21832,118,95,23,190
2012,9519374.0,113177,91938,21239,119,97,22,191
2013,9600378.5,113593,90402,23191,118,94,24,189
2014,9696109.5,114907,88976,25931,119,92,27,188
2015,9799186.0,114870,90907,23963,117,93,24,185
2016,9923085.0,117425,90982,26443,118,92,26,185
